date,netlify,plausible
2021-07-30,576,255
2021-07-31,442,189
2021-08-01,684,325
2021-08-02,828,521
2021-08-03,675,354
2021-08-04,649,306
2021-08-05,549,276
2021-08-06,683,272
2021-08-07,1286,811
2021-08-08,837,453
2021-08-09,867,448
2021-08-10,627,321
2021-08-11,552,262
2021-08-12,593,268
2021-08-13,566,227
2021-08-14,408,131
2021-08-15,403,159
2021-08-16,527,226
2021-08-17,542,219
2021-08-18,642,248
2021-08-19,511,222
2021-08-20,447,176
2021-08-21,547,215
2021-08-22,827,410
2021-08-23,867,471
2021-08-24,640,343
2021-08-25,537,235
2021-08-26,467,192
2021-08-27,517,191
2021-08-28,415,122
2021-08-29,401,146
