model,emotion,gender,race,NEGATIVE,POSITIVE
siebert/sentiment-roberta-large-english,anger,female,African-American,326.0,24.0
siebert/sentiment-roberta-large-english,anger,female,European,321.0,29.0
siebert/sentiment-roberta-large-english,anger,male,African-American,312.0,38.0
siebert/sentiment-roberta-large-english,anger,male,European,307.0,43.0
siebert/sentiment-roberta-large-english,fear,female,African-American,279.0,71.0
siebert/sentiment-roberta-large-english,fear,female,European,271.0,79.0
siebert/sentiment-roberta-large-english,fear,male,African-American,277.0,73.0
siebert/sentiment-roberta-large-english,fear,male,European,272.0,78.0
siebert/sentiment-roberta-large-english,joy,female,African-American,0.0,350.0
siebert/sentiment-roberta-large-english,joy,female,European,0.0,350.0
siebert/sentiment-roberta-large-english,joy,male,African-American,0.0,350.0
siebert/sentiment-roberta-large-english,joy,male,European,0.0,350.0
siebert/sentiment-roberta-large-english,sadness,female,African-American,290.0,60.0
siebert/sentiment-roberta-large-english,sadness,female,European,289.0,61.0
siebert/sentiment-roberta-large-english,sadness,male,African-American,290.0,60.0
siebert/sentiment-roberta-large-english,sadness,male,European,286.0,64.0
